ID,Valence,Arousal,Freq,CNC,IMG,Word
151,5.25,4.52,7,556,486,BOOTH
152,4.39,6.14,20,552,554,BOSS
153,5.45,4.56,76,591,619,BOTTLE
154,5.5,4.38,1,0,436,BOUILLON
155,4.93,4.69,10,597,614,BOULDER
156,5.52,4.6,11,597,614,BOULEVARD
157,6.55,4.14,4,566,599,BOUQUET
158,5.51,4.21,23,575,579,BOWL
159,5.17,4.57,70,597,591,BOX
160,5.02,6.37,1,597,591,BOXER
161,6.01,4.76,242,609,618,BOY
162,6.3,5.77,2,609,618,BOYFRIEND
163,6.03,4.82,1,602,606,BRACELET
164,3.97,5.15,4,602,606,BRACES
165,6.34,5.58,45,556,572,BRAIN
166,5.04,5.3,2,526,511,BRAKE
167,5.09,4.33,1,378,377,BRAN
168,5.57,4.37,33,583,548,BRANCH
169,5.54,4.76,7,595,590,BRANDY
170,6.47,3.98,41,622,619,BREAD
171,6.38,6,11,580,597,BREAST
172,5.02,4.79,18,610,574,BRICK
173,6.72,5.22,33,610,574,BRIDE
174,5.64,4.99,98,623,608,BRIDGE
175,5.13,4.67,1,361,344,BRIEFCASE
176,5.55,4.47,1,540,416,BROCCOLI
177,6.38,3.15,3,611,597,BROOK
178,4.92,4.46,2,613,608,BROOM
179,6.41,4.88,73,585,589,BROTHER
180,3.18,6.09,3,535,553,BRUISE
181,6.53,4.97,1,535,553,BRUNETTE
182,5.46,4.23,44,589,570,BRUSH
183,6.41,3.92,12,563,604,BUBBLE
184,5.1,4.46,7,594,586,BUCKET
185,5.19,4.75,5,568,587,BUCKLE
186,5.78,5.29,16,366,394,BUFFALO
187,3.66,5.82,4,418,393,BUG
188,4.9,4.64,6,418,393,BUGGY
189,5.24,5.45,2,418,393,BUGLE
190,5.62,5.24,29,532,551,BUILDER
191,5.52,4.81,160,589,578,BUILDING
192,5.53,4.59,7,589,578,BULB
193,4.76,6.41,14,0,458,BULL
194,3.31,7,28,595,611,BULLET
195,5.18,5.28,18,595,611,BULLETIN
196,2.34,6.95,4,595,611,BULLY
197,5.82,4.37,1,525,476,BUN
198,7.03,3.64,1,0,585,BUNNY
199,4.79,4.76,43,547,497,BUREAU
200,2.38,7.31,1,0,317,BURGLAR
201,5,5.02,34,372,401,BUS
202,5.11,4.27,14,585,549,BUSH
203,4.4,6.05,8,556,596,BUTCHER
204,5.33,4.53,4,0,543,BUTLER
205,5.99,4.14,27,618,603,BUTTER
206,7.18,3.52,2,593,624,BUTTERFLY
207,5.48,4.43,10,613,580,BUTTON
208,5.43,5.36,2,0,463,BUYER
209,5.12,5.01,12,234,231,CAB
210,4.95,4.33,4,611,573,CABBAGE
211,6.26,3.52,23,596,582,CABIN
212,5.38,4.4,17,593,524,CABINET
213,5.54,4.84,7,544,469,CABLE
214,5.37,4.93,2,544,469,CABOOSE
215,4.82,5.49,1,459,303,CACTUS
216,6.41,4.43,20,568,625,CAFE
217,5.44,5.12,15,568,625,CAFETERIA
218,3.54,6.04,9,593,585,CAGE
219,7.28,4.98,13,624,624,CAKE
220,5.41,4.72,10,624,624,CALCULATOR
221,5.5,4.59,28,331,435,CALENDAR
222,5.84,4,11,592,565,CALF
223,5.36,4.66,1,597,561,CAMEL
224,6.35,5.27,36,627,576,CAMERA
225,5.2,4.51,1773,365,369,CAN
226,5.39,4.49,3,598,588,CANAL
227,6.26,4.33,1,577,533,CANARY
228,4.85,5.44,34,489,452,CANDIDATE
229,6.31,3.8,18,565,594,CANDLE
230,7.14,5.35,16,602,601,CANDY
231,4.65,4.68,12,590,608,CANE
232,4.38,6.57,7,604,588,CANNON
233,5.98,4.22,7,623,602,CANOE
234,5.77,4.22,19,587,540,CANVAS
235,5.98,4.64,12,587,540,CANYON
236,5.41,4.33,27,587,540,CAP
237,5.65,4.58,20,581,566,CAPE
238,5.42,5.28,85,448,518,CAPITAL
239,5.54,5.78,85,534,497,CAPTAIN
240,2.9,7,5,516,518,CAPTIVE
241,6.02,5.66,274,622,638,CAR
242,5.35,4.96,8,539,562,CARAVAN
243,5.65,4.28,26,565,578,CARD
244,6.14,4.26,15,600,531,CARDINAL
245,6.75,6.67,9,625,611,CARNIVAL
246,5.59,4.93,6,613,539,CARPENTER
247,5.58,4.01,13,581,538,CARPET
248,5.67,4.41,11,576,529,CARRIAGE
249,5.97,4.31,1,622,577,CARROT
250,5.32,4.54,5,576,597,CART
251,5.1,4.49,2,525,421,CARTON
252,7.15,6.37,36,547,588,CASH
253,6.29,4.47,1,547,588,CASHEW
254,5.47,4.96,1,547,588,CASHIER
255,2.73,6.22,1,613,588,CASKET
256,6.31,5.59,7,368,423,CASTLE
257,6.6,4.29,23,615,617,CAT
258,5.39,5.02,17,305,435,CATCHER
259,5.35,4.39,1,586,626,CATERPILLAR
260,5.75,4.16,8,553,599,CATHEDRAL
261,5.35,4.6,97,600,619,CATTLE
262,4.92,4.39,1,642,567,CAULIFLOWER
263,5.08,5.27,9,592,601,CAVE
264,2.72,6.4,12,534,548,CAVITY
265,5.3,4.2,31,606,557,CEILING
266,5.24,4.29,4,606,557,CELERY
267,4.71,4.73,26,572,572,CELLAR
268,6.02,4.05,2,572,572,CELLO
269,3.05,5.7,15,646,578,CEMETERY
270,5.52,4.66,158,544,518,CENT
271,5.79,4.36,3,346,395,CERAMICS
272,6.31,4.12,17,637,576,CEREAL
273,4.54,5.29,50,595,559,CHAIN
274,5.63,4.05,66,606,610,CHAIR
275,4.84,4.92,9,606,610,CHAIRPERSON
276,5.1,4.22,3,634,601,CHALK
277,5.01,4.96,46,308,402,CHAMBER
278,6.33,5.41,13,488,464,CHAMPAGNE
