1256,1626,83,738,134,1171,769,488,0,0,0,0,0,0,0
699,567,255,1477,0,0,0,0,0,0,0,0,0,0,0
1037,980,1183,794,1620,435,692,1282,0,0,0,0,0,0,0
733,299,901,-1,1258,125,0,0,0,0,0,0,0,0,0
1085,1303,1280,127,1351,760,620,0,0,0,0,0,0,0,0
46,546,1015,1242,316,159,1331,1143,0,0,0,0,0,0,0
137,166,1581,1047,1176,804,1075,1192,1076,216,0,0,0,0,0
1333,61,552,593,88,610,592,602,55,947,795,0,0,0,0
1261,249,210,1440,254,1621,177,1461,1112,922,1468,0,0,0,0
1580,343,175,1395,846,1358,861,1132,1039,0,0,0,0,0,0
194,883,1087,1144,858,0,0,0,0,0,0,0,0,0,0
336,157,86,373,1520,1060,1075,0,0,0,0,0,0,0,0
1486,601,1172,211,839,109,0,0,0,0,0,0,0,0,0
1035,1385,732,713,718,707,1028,0,0,0,0,0,0,0,0
1152,1272,171,5,1557,661,1238,0,0,0,0,0,0,0,0
543,627,766,1618,761,253,466,0,0,0,0,0,0,0,0
1098,569,348,323,1622,1405,1328,0,0,0,0,0,0,0,0
1356,1460,1609,520,1032,0,0,0,0,0,0,0,0,0,0
371,1019,541,1456,-1,0,0,0,0,0,0,0,0,0,0
847,1326,119,258,654,1251,972,1089,837,843,1173,0,0,0,0
200,1415,559,637,682,1403,476,512,0,0,0,0,0,0,0
1044,162,606,483,1526,1625,755,1255,0,0,0,0,0,0,0
1312,936,1332,82,360,714,1587,199,496,0,0,0,0,0,0
1013,442,1536,392,754,327,848,919,0,0,0,0,0,0,0
1173,723,633,1580,315,995,937,39,869,488,1258,1374,0,0,0
1197,200,467,346,1089,447,372,976,1024,0,0,0,0,0,0
1060,1287,1587,-1,0,0,0,0,0,0,0,0,0,0,0
569,901,559,1070,843,714,1605,373,323,1086,1355,593,848,0,0
1356,1307,1319,1456,-1,1037,1385,660,592,0,0,0,0,0,0
425,734,397,1242,1369,654,0,0,0,0,0,0,0,0,0
1485,1275,328,-1,728,994,1312,1013,0,0,0,0,0,0,0
1347,1581,849,1112,442,1611,1282,1478,0,0,0,0,0,0,0
1125,1149,706,733,169,265,1392,960,0,0,0,0,0,0,0
1535,258,226,134,715,794,1536,392,1608,738,0,0,0,0,0
1066,199,659,1609,1006,384,1606,1460,809,0,0,0,0,0,0
1111,1251,498,341,1568,783,0,0,0,0,0,0,0,0,0
737,637,1124,1438,133,1486,494,840,0,0,0,0,0,0,0
267,-1,598,997,159,113,1227,0,0,0,0,0,0,0,0
1108,745,900,91,127,0,0,0,0,0,0,0,0,0,0
576,104,754,1139,696,1087,1246,662,108,0,0,0,0,0,0
210,824,1127,0,0,0,0,0,0,0,0,0,0,0,0
1243,785,541,1088,573,68,1075,55,1625,804,0,0,0,0,0
575,177,796,1519,226,1199,724,812,0,0,0,0,0,0,0
1620,499,476,12,1562,565,1628,1152,198,410,1219,561,0,0,0
800,1407,1408,764,916,821,6,602,179,606,0,0,0,0,0
675,861,1159,46,866,389,829,0,0,0,0,0,0,0,0
67,623,661,1626,1426,0,0,0,0,0,0,0,0,0,0
248,847,175,893,546,240,492,1143,1395,0,0,0,0,0,0
737,248,839,172,706,846,171,778,1317,935,1608,744,733,0,0
175,771,1183,1087,446,792,1272,1256,1620,0,0,0,0,0,0
435,410,1519,0,0,0,0,0,0,0,0,0,0,0,0
1149,872,575,108,977,633,0,0,0,0,0,0,0,0,0
137,755,133,769,1546,131,403,728,0,0,0,0,0,0,0
1299,188,1251,168,199,827,1144,304,764,0,0,0,0,0,0
1119,1440,39,-1,38,520,869,198,1628,997,0,0,0,0,0
210,561,415,1565,0,0,0,0,0,0,0,0,0,0,0
1108,1238,804,994,714,963,1626,0,0,0,0,0,0,0,0
490,888,159,1395,346,833,0,0,0,0,0,0,0,0,0
1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1486,829,785,134,1152,91,0,0,0,0,0,0,0,0,0
1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,372,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,1329,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,1392,591,1343,1368,1170,0,0,0,0,0,0,0,0,0
340,397,230,1407,1408,1080,127,1358,1609,0,0,0,0,0,0
119,1384,567,24,1331,0,0,0,0,0,0,0,0,0,0
1315,383,327,467,466,6,598,0,0,0,0,0,0,0,0
783,987,1368,601,843,605,63,885,0,0,0,0,0,0,0
627,766,1618,746,782,1125,0,0,0,0,0,0,0,0,0
1403,847,13,1070,179,1312,358,0,0,0,0,0,0,0,0
1544,1356,162,1017,1075,569,0,0,0,0,0,0,0,0,0
1625,715,0,0,0,0,0,0,0,0,0,0,0,0,0
1356,446,798,1328,675,0,0,0,0,0,0,0,0,0,0
29,593,415,658,1326,373,575,1420,84,0,0,0,0,0,0
1546,947,1132,55,172,0,0,0,0,0,0,0,0,0,0
429,1139,292,567,33,980,0,0,0,0,0,0,0,0,0
35,372,435,821,714,1080,755,133,1562,0,0,0,0,0,0
734,839,1512,125,316,0,0,0,0,0,0,0,0,0,0
1258,371,1036,1032,253,0,0,0,0,0,0,0,0,0,0
1037,1369,1486,804,769,0,0,0,0,0,0,0,0,0,0
584,610,982,0,0,0,0,0,0,0,0,0,0,0,0
497,639,164,1635,1628,760,570,0,0,0,0,0,0,0,0
1415,627,960,0,0,0,0,0,0,0,0,0,0,0,0
261,134,-1,157,829,1333,0,0,0,0,0,0,0,0,0
1327,707,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,82,660,820,488,0,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,431,1485,763,796,683,162,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,999,179,1312,299,348,1112,0,0,0,0,0,0,0,0
1245,959,1184,104,0,0,0,0,0,0,0,0,0,0,0
