75,857,584,442,142,1493,1243,734,226,935,1229,1047,696,1295,1006,782,94,734,0,0,0,0
388,599,134,177,494,1374,169,1032,1609,1358,997,1246,749,1119,573,1158,1521,0,0,0,0,0
994,1349,618,879,953,635,159,988,1611,989,437,1580,390,0,0,0,0,0,0,0,0,0
763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,707,1194,172,339,1395,959,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,495,1183,383,1633,340,12,1472,327,136,996,0,0,0,0,0,0,0,0,0,0,0
1562,184,1002,492,466,1486,1625,1089,1456,1080,1292,1544,0,0,0,0,0,0,0,0,0,0
692,1536,415,1125,561,645,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,999,417,397,604,724,593,1488,541,1294,829,343,1280,1017,559,0,0,0,0,0,0,0
401,1530,1200,908,183,546,520,602,24,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1415,1618,1149,1608,255,1519,1022,1592,0,0,0,0,0,0,0,0,0,0,0,0,0
86,145,726,1123,360,1104,235,790,410,1508,0,0,0,0,0,0,0,0,0,0,0,0
198,66,754,670,1176,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1420,1327,870,919,1147,940,1171,119,1384,483,0,0,0,0,0,0,0,0,0,0,0,0
497,1192,1532,641,1345,1620,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,389,731,1299,776,977,485,995,1272,35,0,0,0,0,0,0,0,0,0,0,0,0
188,633,55,1132,590,885,283,1565,1065,68,0,0,0,0,0,0,0,0,0,0,0,0
1369,1578,519,392,1303,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,230,1511,869,175,210,490,109,761,1096,1438,843,601,336,1593,0,0,0,0,0,0,0
1215,610,900,1202,346,313,1307,1555,467,0,0,0,0,0,0,0,0,0,0,0,0,0
614,1356,804,400,125,702,662,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,1037,171,814,947,1079,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,407,476,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,982,1044,113,963,1024,1371,1027,1271,253,0,0,0,0,0,0,0,0,0,0,0,0
1355,1123,1148,1158,1395,519,660,183,782,162,974,0,0,0,0,0,0,0,0,0,0,0
203,1238,1224,814,963,1065,292,488,1229,439,295,1544,0,0,0,0,0,0,0,0,0,0
134,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,1002,1124,988,1111,1060,1155,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
