1203,1006,508,659,437,254,308,783,223,1006,1524,508,959,0,0,0,0,0,0,0,0,0
512,283,194,809,485,-1,591,1219,764,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,792,764,1332,1329,578,316,761,467,642,1581,0,0,0,0,0,0,0,0,0,0,0
697,829,-1,-1,1051,749,435,1517,67,1148,602,697,592,-1,0,0,0,0,0,0,0,0
483,169,1079,248,39,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,1035,793,1408,-1,1080,1271,1272,496,675,113,0,0,0,0,0,0,0,0,0,0,0
620,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692,782,804,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,719,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,131,1468,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224,1555,1159,-1,579,604,1515,211,119,1608,1057,137,-1,386,255,1250,142,1628,637,63,82,1113
1440,1385,-1,258,199,13,723,1086,699,1546,947,187,1451,1369,997,857,-1,1317,0,0,0,0
1229,1047,584,821,395,667,1027,68,1374,0,0,0,0,0,0,0,0,0,0,0,0,0
61,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,1232,1096,1139,731,267,683,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,834,501,1587,328,1261,713,393,895,1112,84,0,0,0,0,0,0,0,0,0,0,0
732,1158,1144,1171,1245,929,1438,183,870,292,1532,1621,476,570,0,0,0,0,0,0,0,0
336,820,682,371,738,1123,1284,490,1456,200,484,240,0,0,0,0,0,0,0,0,0,0
1635,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,937,1371,654,893,1626,55,1282,-1,1013,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,1594,360,807,-1,872,442,812,175,1243,295,415,1622,641,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,340,-1,66,1388,1152,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1505,997,1061,1416,623,548,113,614,1621,490,509,1013,278,35,575,0,0,0,0,0,0,0
431,567,580,1275,175,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,1035,1113,1526,955,1124,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,1493,796,67,601,667,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
