64,1170,104,599,1633,240,947,383,1200,134,778,1070,1049,1456,267,1256,91,1512,1546,94,565,12,1609,441
1407,1079,982,800,82,100,1282,1411,1197,1173,63,885,707,731,591,442,637,795,689,749,541,1088,1139,360
125,137,265,592,179,519,793,1345,543,1605,323,1328,1358,584,1555,1243,754,211,1408,1533,1384,1488,702,614
119,1295,1535,573,683,766,67,1238,1092,1096,1593,718,145,235,108,1037,708,24,1303,610,476,576,143,1355
86,131,658,1271,790,857,659,496,226,821,172,1580,1522,175,501,1319,820,697,499,901,794,1089,497,869
315,508,1036,1527,699,200,1149,1385,253,46,1027,1144,400,602,39,10,187,325,258,292,437,1524,1017,405
1405,570,1011,624,977,839,1572,255,879,1545,764,1061,738,546,1275,1117,953,848,866,488,1508,670,1227,483
600,1111,1536,1351,53,254,88,1307,1086,675,210,872,139,763,719,1158,812,1232,1124,1104,6,1438,1093,1108
912,1329,1373,929,1051,1388,732,1374,401,1503,714,1472,1143,645,987,1192,1057,662,1015,1199,328,397,1224,900
782,447,425,1400,261,861,341,972,578,348,1618,618,870,1066,198,1032,1261,960,1436,183,994,745,628,495
1287,1530,1021,1621,1440,1125,336,166,1532,760,1382,1636,1371,847,1209,1544,199,1332,633,1250,1048,1065,1392,874
1095,1215,783,1403,955,1031,585,989,1132,1343,171,849,55,635,888,490,1016,1606,29,692,1347,427,1520,1578
388,169,248,737,878,834,852,1258,494,1628,792,164,1427,959,278,579,1301,569,873,1622,392,177,752,1044
353,1112,1526,1221,1009,733,512,1147,706,68,109,895,223,1159,796,1369,804,1019,184,83,1581,1511,157,1635
785,1140,667,1098,642,567,1501,1625,798,492,940,368,308,746,871,691,723,127,1002,1293,33,1414,827,1087
1521,814,307,846,1426,1123,660,1183,1423,1496,389,35,407,371,1415,1461,429,666,520,1357,403,415,605,66
963,249,713,974,1395,843,1330,996,1024,1171,893,1327,580,1035,1013,299,1451,346,728,807,684,976,922,1562
575,1478,339,530,216,1245,410,446,593,485,833,1420,1251,935,771,283,932,1280,327,188,1608,372,620,373
1356,61,858,641,1152,38,1505,1368,937,598,1349,627,230,431,1331,1272,343,1184,1448,280,1203,5,1460,559
162,829,1047,1006,395,1631,623,435,1333,1416,1312,1592,840,999,1000,1422,726,1229,876,304,1155,801,194,654
1148,384,313,316,1075,1519,980,1022,84,661,1119,761,295,682,1587,1076,1219,1620,142,338,604,1284,13,1194
467,755,1370,606,1626,358,408,75,1113,908,1080,1172,417,809,466,1085,601,1629,997,988,1468,622,159,1565
734,696,136,1260,1315,1246,439,203,715,1493,553,916,509,390,413,340,995,378,484,769,1317,776,386,919
1060,1486,498,113,883,1242,639,561,168,1294,1262,590,1557,133,724,1326,1071,1341,1202,1611,1292,1299,1515,1176
707,659,1013,1370,1229,38,520,299,1333,879,733,1197,346,401,413,1427,591,179,1119,1382,834,989,1075,1251
304,439,872,1520,341,987,1098,1611,427,373,1086,1317,1076,714,963,1395,849,1605,1171,343,1002,861,1224,368
1608,1044,947,1275,1536,1303,1065,980,5,1024,1173,392,637,315,1149,561,388,187,1400,1519,1243,1565,1629,1143
1403,1088,1080,1625,746,133,1093,1580,371,809,692,353,1301,1294,783,407,1293,1246,731,755,814,210,689,1562
1327,1242,12,1221,1423,339,1057,1515,1496,1112,769,168,108,1006,109,240,280,801,635,159,188,415,785,1356
